Time	(21) S1i	(22) S2i	(23) S3i	(24) S4i	
0.0616	-0.05222001	-0.06122142	-0.06777999	-0.05877858	
0.0618	-0.05220003	-0.06122517	-0.06779996	-0.05877483	
0.062	-0.05218012	-0.06122891	-0.06781988	-0.05877109	
0.0622	-0.05216032	-0.06123264	-0.06783968	-0.05876736	
0.0624	-0.05214066	-0.06123636	-0.06785934	-0.05876365	
0.0626	-0.05212107	-0.06124007	-0.06787893	-0.05875993	
0.0628	-0.05210158	-0.06124377	-0.06789842	-0.05875623	
0.063	-0.05208223	-0.06124746	-0.06791777	-0.05875254	
0.0632	-0.05206295	-0.06125115	-0.06793705	-0.05874885	
0.0634	-0.05204378	-0.06125483	-0.06795622	-0.05874518	
0.0636	-0.05202475	-0.06125849	-0.06797525	-0.05874151	
0.0638	-0.05200578	-0.06126215	-0.06799421	-0.05873786	
0.064	-0.05198693	-0.0612658	-0.06801307	-0.0587342	
0.0642	-0.0519682	-0.06126943	-0.0680318	-0.05873057	
0.06439999	-0.05194955	-0.06127306	-0.06805045	-0.05872693	
0.0646	-0.051931	-0.06127669	-0.068069	-0.05872331	
0.0648	-0.05191259	-0.0612803	-0.06808741	-0.0587197	
0.065	-0.05189425	-0.06128391	-0.06810575	-0.05871609	
0.0652	-0.05187602	-0.06128751	-0.06812399	-0.05871249	
0.0654	-0.05185791	-0.06129109	-0.06814209	-0.05870891	
0.0656	-0.05183988	-0.06129467	-0.06816012	-0.05870533	
0.0658	-0.05182195	-0.06129824	-0.06817805	-0.05870175	
0.066	-0.05180415	-0.0613018	-0.06819585	-0.0586982	
0.0662	-0.05178643	-0.06130536	-0.06821357	-0.05869464	
0.0664	-0.05176881	-0.06130891	-0.0682312	-0.05869109	
0.06659999	-0.05175131	-0.06131244	-0.06824869	-0.05868756	
0.0668	-0.05173389	-0.06131597	-0.06826611	-0.05868403	
0.067	-0.05171657	-0.0613195	-0.06828342	-0.0586805	
0.0672	-0.05169939	-0.06132301	-0.06830061	-0.058677	
0.0674	-0.05168227	-0.06132651	-0.06831773	-0.05867349	
0.0676	-0.05166525	-0.06133001	-0.06833474	-0.05866999	
0.0678	-0.05164837	-0.06133349	-0.06835163	-0.0586665	
0.068	-0.05163155	-0.06133698	-0.06836845	-0.05866302	
0.0682	-0.05161484	-0.06134045	-0.06838516	-0.05865955	
0.0684	-0.05159825	-0.06134391	-0.06840175	-0.05865609	
0.0686	-0.05158174	-0.06134737	-0.06841826	-0.05865263	
0.06879999	-0.05156532	-0.06135082	-0.06843468	-0.05864918	
0.069	-0.05154904	-0.06135426	-0.06845096	-0.05864574	
0.0692	-0.05153282	-0.06135769	-0.06846718	-0.05864231	
0.0694	-0.0515167	-0.06136112	-0.0684833	-0.05863888	
0.0696	-0.05150071	-0.06136453	-0.06849929	-0.05863547	
0.0698	-0.05148479	-0.06136794	-0.06851521	-0.05863206	
0.07	-0.05146897	-0.06137135	-0.06853103	-0.05862866	
0.0702	-0.05145328	-0.06137473	-0.06854673	-0.05862527	
0.0704	-0.05143765	-0.06137812	-0.06856235	-0.05862188	
0.0706	-0.05142213	-0.0613815	-0.06857787	-0.0586185	
0.0708	-0.05140672	-0.06138487	-0.06859328	-0.05861513	
0.07099999	-0.05139139	-0.06138823	-0.0686086	-0.05861177	
0.0712	-0.05137616	-0.06139159	-0.06862384	-0.05860841	
0.0714	-0.05136105	-0.06139493	-0.06863895	-0.05860507	
0.0716	-0.05134601	-0.06139828	-0.06865399	-0.05860173	
0.0718	-0.05133107	-0.06140161	-0.06866893	-0.05859839	
0.072	-0.05131625	-0.06140493	-0.06868375	-0.05859507	
0.0722	-0.0513015	-0.06140825	-0.0686985	-0.05859175	
0.0724	-0.05128685	-0.06141156	-0.06871315	-0.05858844	
0.0726	-0.05127232	-0.06141486	-0.06872768	-0.05858514	
0.0728	-0.05125786	-0.06141816	-0.06874214	-0.05858184	
0.073	-0.05124349	-0.06142145	-0.06875651	-0.05857855	
0.07319999	-0.05122925	-0.06142472	-0.06877075	-0.05857528	
0.0734	-0.05121507	-0.061428	-0.06878492	-0.058572	
0.0736	-0.051201	-0.06143127	-0.068799	-0.05856873	
0.0738	-0.05118704	-0.06143453	-0.06881297	-0.05856548	
0.074	-0.05117315	-0.06143778	-0.06882685	-0.05856222	
0.0742	-0.05115936	-0.06144103	-0.06884065	-0.05855897	
0.0744	-0.05114568	-0.06144426	-0.06885432	-0.05855574	
0.0746	-0.05113208	-0.06144749	-0.06886792	-0.05855251	
0.0748	-0.05111856	-0.06145072	-0.06888144	-0.05854928	
0.075	-0.05110517	-0.06145393	-0.06889483	-0.05854607	
0.0752	-0.05109185	-0.06145714	-0.06890815	-0.05854286	
0.07539999	-0.05107862	-0.06146035	-0.06892138	-0.05853966	
0.0756	-0.0510655	-0.06146353	-0.06893449	-0.05853646	
0.0758	-0.05105246	-0.06146673	-0.06894754	-0.05853327	
0.076	-0.05103951	-0.06146991	-0.06896049	-0.05853009	
0.0762	-0.05102668	-0.06147308	-0.06897333	-0.05852692	
0.0764	-0.05101391	-0.06147625	-0.06898609	-0.05852375	
0.0766	-0.05100124	-0.06147942	-0.06899876	-0.05852059	
0.0768	-0.05098868	-0.06148256	-0.06901132	-0.05851744	
0.077	-0.05097619	-0.06148571	-0.0690238	-0.05851429	
0.0772	-0.0509638	-0.06148886	-0.0690362	-0.05851115	
0.0774	-0.05095151	-0.06149198	-0.06904849	-0.05850802	
0.07759999	-0.0509393	-0.06149511	-0.0690607	-0.05850489	
0.0778	-0.05092718	-0.06149824	-0.06907282	-0.05850177	
0.078	-0.05091517	-0.06150135	-0.06908483	-0.05849865	
