Time	(10) Hip Flx Ib	(11) Knee Ext Ib	(12) Knee Flx Ib	(13) Ankle Ext Ib	(14) Ankle Flx Ib	(9) Hip Ext Ib	
4.1376	-0.05264371	-0.04663703	-0.04	-0.04664817	-0.04	-0.05976171	
4.1378	-0.05265165	-0.04662938	-0.04	-0.0466405	-0.04	-0.05976183	
4.138	-0.05265929	-0.04662203	-0.04	-0.04663314	-0.04	-0.05976193	
4.1382	-0.05266753	-0.04661409	-0.04	-0.04662519	-0.04	-0.05976205	
4.1384	-0.05267545	-0.04660646	-0.04	-0.04661755	-0.04	-0.05976216	
4.1386	-0.05268306	-0.04659913	-0.04	-0.04661021	-0.04	-0.05976227	
4.1388	-0.05269128	-0.04659122	-0.04	-0.04660228	-0.04	-0.05976238	
4.139	-0.05269917	-0.04658362	-0.04	-0.04659466	-0.04	-0.05976249	
4.1392	-0.05270676	-0.04657631	-0.04	-0.04658734	-0.04	-0.0597626	
4.1394	-0.05271495	-0.04656843	-0.04	-0.04657945	-0.04	-0.05976271	
4.1396	-0.05272282	-0.04656085	-0.04	-0.04657185	-0.04	-0.05976282	
4.1398	-0.05273038	-0.04655357	-0.04	-0.04656456	-0.04	-0.05976293	
4.14	-0.05273854	-0.04654571	-0.04	-0.04655669	-0.04	-0.05976304	
4.1402	-0.05274638	-0.04653816	-0.04	-0.04654912	-0.04	-0.05976315	
4.1404	-0.05275391	-0.0465309	-0.04	-0.04654185	-0.04	-0.05976326	
4.1406	-0.05276205	-0.04652307	-0.04	-0.04653401	-0.04	-0.05976337	
4.1408	-0.05276987	-0.04651554	-0.04	-0.04652647	-0.04	-0.05976348	
4.141	-0.05277738	-0.04650831	-0.04	-0.04651922	-0.04	-0.05976358	
4.1412	-0.05278549	-0.0465005	-0.04	-0.0465114	-0.04	-0.0597637	
4.1414	-0.05279328	-0.046493	-0.04	-0.04650388	-0.04	-0.05976381	
4.1416	-0.05280076	-0.04648579	-0.04	-0.04649666	-0.04	-0.05976391	
4.1418	-0.05280884	-0.04647801	-0.04	-0.04648886	-0.04	-0.05976402	
4.142	-0.05281661	-0.04647053	-0.04	-0.04648137	-0.04	-0.05976413	
4.1422	-0.05282407	-0.04646334	-0.04	-0.04647417	-0.04	-0.05976424	
4.1424	-0.05283212	-0.04645559	-0.04	-0.0464664	-0.04	-0.05976435	
4.1426	-0.05283986	-0.04644813	-0.04	-0.04645894	-0.04	-0.05976446	
4.1428	-0.0528473	-0.04644097	-0.04	-0.04645177	-0.04	-0.05976456	
4.143	-0.05285533	-0.04643324	-0.04	-0.04644402	-0.04	-0.05976468	
4.1432	-0.05286304	-0.04642581	-0.04	-0.04643658	-0.04	-0.05976478	
4.1434	-0.05287045	-0.04641867	-0.04	-0.04642943	-0.04	-0.05976488	
4.1436	-0.05287845	-0.04641097	-0.04	-0.04642171	-0.04	-0.059765	
4.1438	-0.05288614	-0.04640356	-0.04	-0.04641429	-0.04	-0.0597651	
4.144	-0.05289353	-0.04639645	-0.04	-0.04640716	-0.04	-0.05976521	
4.1442	-0.05290151	-0.04638877	-0.04	-0.04639947	-0.04	-0.05976532	
4.1444	-0.05290917	-0.04638139	-0.04	-0.04639208	-0.04	-0.05976543	
4.1446	-0.05291653	-0.0463743	-0.04	-0.04638498	-0.04	-0.05976553	
4.1448	-0.05292448	-0.04636664	-0.04	-0.0463773	-0.04	-0.05976564	
4.145	-0.05293212	-0.04635929	-0.04	-0.04636994	-0.04	-0.05976575	
4.1452	-0.05293946	-0.04635222	-0.04	-0.04636286	-0.04	-0.05976585	
4.1454	-0.05294738	-0.04634459	-0.04	-0.04635521	-0.04	-0.05976596	
4.1456	-0.05295499	-0.04633726	-0.04	-0.04634787	-0.04	-0.05976607	
4.1458	-0.0529623	-0.04633022	-0.04	-0.04634081	-0.04	-0.05976617	
4.146	-0.0529702	-0.04632261	-0.04	-0.04633319	-0.04	-0.05976628	
4.1462	-0.05297779	-0.0463153	-0.04	-0.04632588	-0.04	-0.05976639	
4.1464	-0.05298508	-0.04630828	-0.04	-0.04631884	-0.04	-0.05976649	
4.1466	-0.05299295	-0.0463007	-0.04	-0.04631125	-0.04	-0.0597666	
4.1468	-0.05300051	-0.04629342	-0.04	-0.04630395	-0.04	-0.0597667	
4.147	-0.05300778	-0.04628642	-0.04	-0.04629694	-0.04	-0.05976681	
4.1472	-0.05301562	-0.04627887	-0.04	-0.04628938	-0.04	-0.05976691	
4.1474	-0.05302316	-0.04627161	-0.04	-0.04628211	-0.04	-0.05976702	
4.1476	-0.0530304	-0.04626463	-0.04	-0.04627512	-0.04	-0.05976712	
4.1478	-0.05303822	-0.0462571	-0.04	-0.04626758	-0.04	-0.05976723	
4.148	-0.05304573	-0.04624987	-0.04	-0.04626033	-0.04	-0.05976734	
4.1482	-0.05305295	-0.04624292	-0.04	-0.04625336	-0.04	-0.05976744	
4.1484	-0.05306074	-0.04623542	-0.04	-0.04624585	-0.04	-0.05976755	
4.1486	-0.05306823	-0.0462282	-0.04	-0.04623862	-0.04	-0.05976765	
4.1488	-0.05307543	-0.04622127	-0.04	-0.04623168	-0.04	-0.05976775	
4.149	-0.05308319	-0.04621379	-0.04	-0.04622419	-0.04	-0.05976786	
4.1492	-0.05309065	-0.04620661	-0.04	-0.04621699	-0.04	-0.05976797	
4.1494	-0.05309783	-0.04619971	-0.04	-0.04621007	-0.04	-0.05976807	
4.1496	-0.05310557	-0.04619225	-0.04	-0.0462026	-0.04	-0.05976817	
4.1498	-0.05311301	-0.04618508	-0.04	-0.04619543	-0.04	-0.05976828	
4.15	-0.05312015	-0.0461782	-0.04	-0.04618853	-0.04	-0.05976838	
4.1502	-0.05312787	-0.04617077	-0.04	-0.04618109	-0.04	-0.05976848	
4.1504	-0.05313528	-0.04616363	-0.04	-0.04617393	-0.04	-0.05976859	
4.1506	-0.05314241	-0.04615677	-0.04	-0.04616706	-0.04	-0.05976869	
4.1508	-0.0531501	-0.04614937	-0.04	-0.04615964	-0.04	-0.0597688	
4.151	-0.05315749	-0.04614225	-0.04	-0.04615251	-0.04	-0.0597689	
4.1512	-0.05316459	-0.04613541	-0.04	-0.04614567	-0.04	-0.059769	
