Time	(15) Hip Ext II	(16) Hip Flx II	(17) Knee Ext II	(18) Knee Flx II	(19) Ankle Ext II	(20) Ankle Flx II	
0.0456	-0.05104575	-0.05103116	-0.05998354	-0.04000219	-0.05999233	-0.04000181	
0.0458	-0.05104573	-0.0510311	-0.05998354	-0.0400021	-0.05999231	-0.04000174	
0.046	-0.05104572	-0.05103104	-0.05998354	-0.04000202	-0.05999229	-0.04000167	
0.0462	-0.0510457	-0.05103098	-0.05998355	-0.04000194	-0.05999227	-0.0400016	
0.0464	-0.05104569	-0.05103093	-0.05998356	-0.04000187	-0.05999225	-0.04000154	
0.0466	-0.05104567	-0.05103087	-0.05998356	-0.04000179	-0.05999222	-0.04000148	
0.0468	-0.05104566	-0.05103082	-0.05998357	-0.04000172	-0.0599922	-0.04000143	
0.047	-0.05104565	-0.05103077	-0.05998357	-0.04000165	-0.05999218	-0.04000137	
0.0472	-0.05104564	-0.05103071	-0.05998358	-0.04000159	-0.05999216	-0.04000132	
0.0474	-0.05104563	-0.05103067	-0.05998359	-0.04000153	-0.05999214	-0.04000127	
0.0476	-0.05104562	-0.05103062	-0.05998359	-0.04000147	-0.05999212	-0.04000122	
0.0478	-0.05104562	-0.05103057	-0.05998359	-0.04000141	-0.0599921	-0.04000118	
0.048	-0.05104561	-0.05103052	-0.0599836	-0.04000136	-0.05999207	-0.04000114	
0.0482	-0.0510456	-0.05103048	-0.0599836	-0.0400013	-0.05999205	-0.04000109	
0.0484	-0.0510456	-0.05103043	-0.05998361	-0.04000125	-0.05999203	-0.04000106	
0.0486	-0.0510456	-0.05103039	-0.05998361	-0.0400012	-0.05999201	-0.04000102	
0.0488	-0.0510456	-0.05103035	-0.05998362	-0.04000115	-0.05999199	-0.04000099	
0.049	-0.05104559	-0.0510303	-0.05998363	-0.04000111	-0.05999197	-0.04000096	
0.0492	-0.05104559	-0.05103026	-0.05998363	-0.04000106	-0.05999194	-0.04000093	
0.0494	-0.05104559	-0.05103022	-0.05998363	-0.04000102	-0.05999192	-0.0400009	
0.0496	-0.05104559	-0.05103019	-0.05998364	-0.04000098	-0.0599919	-0.04000087	
0.0498	-0.0510456	-0.05103014	-0.05998364	-0.04000095	-0.05999188	-0.04000085	
0.05	-0.0510456	-0.05103011	-0.05998365	-0.04000091	-0.05999186	-0.04000083	
0.0502	-0.0510456	-0.05103007	-0.05998365	-0.04000087	-0.05999183	-0.04000081	
0.0504	-0.0510456	-0.05103003	-0.05998366	-0.04000084	-0.05999181	-0.04000079	
0.0506	-0.05104561	-0.05103	-0.05998367	-0.0400008	-0.05999179	-0.04000077	
0.0508	-0.05104562	-0.05102996	-0.05998367	-0.04000077	-0.05999177	-0.04000075	
0.051	-0.05104562	-0.05102993	-0.05998368	-0.04000074	-0.05999174	-0.04000073	
0.0512	-0.05104563	-0.05102989	-0.05998369	-0.04000071	-0.05999172	-0.04000072	
0.0514	-0.05104563	-0.05102986	-0.0599837	-0.04000068	-0.05999169	-0.0400007	
0.0516	-0.05104564	-0.05102983	-0.0599837	-0.04000066	-0.05999167	-0.04000069	
0.0518	-0.05104564	-0.0510298	-0.0599837	-0.04000063	-0.05999165	-0.04000068	
0.052	-0.05104565	-0.05102977	-0.05998371	-0.04000061	-0.05999163	-0.04000067	
0.0522	-0.05104566	-0.05102973	-0.05998372	-0.04000058	-0.05999161	-0.04000065	
0.0524	-0.05104566	-0.0510297	-0.05998372	-0.04000056	-0.05999159	-0.04000065	
0.0526	-0.05104567	-0.05102967	-0.05998372	-0.04000054	-0.05999157	-0.04000064	
0.0528	-0.05104568	-0.05102964	-0.05998373	-0.04000052	-0.05999154	-0.04000063	
0.053	-0.05104569	-0.05102961	-0.05998374	-0.0400005	-0.05999152	-0.04000063	
0.0532	-0.0510457	-0.05102958	-0.05998374	-0.04000048	-0.0599915	-0.04000062	
0.0534	-0.0510457	-0.05102955	-0.05998375	-0.04000046	-0.05999147	-0.04000062	
0.0536	-0.05104571	-0.05102953	-0.05998375	-0.04000044	-0.05999145	-0.04000061	
0.0538	-0.05104572	-0.0510295	-0.05998376	-0.04000042	-0.05999143	-0.04000061	
0.054	-0.05104573	-0.05102947	-0.05998376	-0.04000041	-0.0599914	-0.04000061	
0.0542	-0.05104574	-0.05102944	-0.05998376	-0.04000039	-0.05999138	-0.04000061	
0.0544	-0.05104575	-0.05102941	-0.05998377	-0.04000038	-0.05999136	-0.04000061	
0.0546	-0.05104576	-0.05102939	-0.05998378	-0.04000036	-0.05999134	-0.04000061	
0.0548	-0.05104577	-0.05102936	-0.05998378	-0.04000035	-0.05999132	-0.04000061	
0.055	-0.05104578	-0.05102934	-0.05998379	-0.04000033	-0.05999129	-0.04000061	
0.0552	-0.05104579	-0.05102931	-0.05998379	-0.04000032	-0.05999127	-0.04000061	
0.0554	-0.0510458	-0.05102929	-0.0599838	-0.04000031	-0.05999124	-0.04000061	
0.0556	-0.05104581	-0.05102926	-0.0599838	-0.0400003	-0.05999122	-0.04000061	
0.0558	-0.05104582	-0.05102924	-0.05998381	-0.04000029	-0.0599912	-0.04000062	
0.056	-0.05104583	-0.05102921	-0.05998382	-0.04000027	-0.05999118	-0.04000062	
0.0562	-0.05104584	-0.05102919	-0.05998382	-0.04000026	-0.05999116	-0.04000062	
0.0564	-0.05104585	-0.05102917	-0.05998382	-0.04000025	-0.05999114	-0.04000063	
0.0566	-0.05104586	-0.05102914	-0.05998383	-0.04000024	-0.05999112	-0.04000064	
0.0568	-0.05104588	-0.05102912	-0.05998383	-0.04000023	-0.0599911	-0.04000064	
0.057	-0.05104589	-0.05102909	-0.05998384	-0.04000022	-0.05999108	-0.04000065	
0.0572	-0.05104589	-0.05102907	-0.05998384	-0.04000022	-0.05999105	-0.04000065	
