Time	LH Force	LH_AnkleZ	LH_HipZ	LH_Knee	Pelvis	
0.0311	-0.05	-0.004253192	-0.01262039	-0.002911367	-0.002375768	
0.0312	-0.05	-0.004253192	-0.0126304	-0.00294308	-0.002323999	
0.0313	-0.05	-0.004253192	-0.01264047	-0.002978567	-0.002273611	
0.0314	-0.05	-0.004253192	-0.01265067	-0.003018014	-0.002225032	
0.0315	-0.05	-0.004253192	-0.0126611	-0.0030616	-0.00217866	
0.0316	-0.05	-0.004253192	-0.01267185	-0.003109499	-0.002134397	
0.0317	-0.05	-0.004253192	-0.01268299	-0.003161869	-0.002092257	
0.0318	-0.05	-0.004253193	-0.01269461	-0.003218863	-0.00205215	
0.0319	-0.05	-0.004253193	-0.01270677	-0.003280618	-0.002013979	
0.032	-0.05	-0.004253193	-0.01271955	-0.00334726	-0.001977618	
0.0321	-0.05	-0.004253193	-0.01273301	-0.003418902	-0.001942914	
0.0322	-0.05	-0.004253193	-0.01274719	-0.003495645	-0.001909649	
0.0323	-0.05	-0.004253193	-0.01276215	-0.003577569	-0.00187768	
0.0324	-0.05	-0.004253193	-0.01277794	-0.003664745	-0.001846746	
0.0325	-0.05	-0.004253193	-0.01279458	-0.003757224	-0.001816692	
0.0326	-0.05	-0.004253194	-0.01281211	-0.003855045	-0.001787241	
0.0327	-0.05	-0.004253194	-0.01283055	-0.003958225	-0.001758231	
0.0328	-0.05	-0.004253194	-0.01284992	-0.004066772	-0.001729384	
0.0329	-0.05	-0.004253194	-0.01287022	-0.004180669	-0.001700509	
0.033	-0.05	-0.004253194	-0.01289145	-0.004299887	-0.001671448	
0.0331	-0.05	-0.004253194	-0.01291361	-0.00442438	-0.001642037	
0.0332	-0.05	-0.004253194	-0.01293669	-0.004554083	-0.001612094	
0.0333	-0.05	-0.004253194	-0.01296066	-0.004688913	-0.001581548	
0.0334	-0.05	-0.004253195	-0.01298549	-0.004828774	-0.001550276	
0.0335	-0.05	-0.004253195	-0.01301115	-0.00497355	-0.001518269	
0.0336	-0.05	-0.004253195	-0.0130376	-0.005123113	-0.00148548	
0.0337	-0.05	-0.004253195	-0.01306479	-0.005277316	-0.001451981	
0.0338	-0.05	-0.004253195	-0.01309265	-0.005436002	-0.001417744	
0.0339	-0.05	-0.004253195	-0.01312114	-0.005598994	-0.001382915	
0.034	-0.05	-0.004253195	-0.01315018	-0.005766107	-0.001347572	
0.0341	-0.05	-0.004253196	-0.0131797	-0.00593714	-0.001311873	
0.0342	-0.05	-0.004253196	-0.01320962	-0.006111884	-0.001275929	
0.0343	-0.05	-0.004253196	-0.01323985	-0.00629011	-0.001239941	
0.0344	-0.05	-0.004253196	-0.01327031	-0.006471586	-0.001204053	
0.0345	-0.05	-0.004253196	-0.01330091	-0.00665607	-0.001168495	
0.0346	-0.05	-0.004253196	-0.01333154	-0.00684331	-0.001133383	
0.0347	-0.05	-0.004253196	-0.01336211	-0.007033044	-0.001098919	
0.0348	-0.05	-0.004253197	-0.01339252	-0.007225006	-0.001065183	
0.0349	-0.05	-0.004253197	-0.01342266	-0.007418916	-0.001032384	
0.035	-0.05	-0.004253197	-0.01345241	-0.007614497	-0.001000702	
0.0351	-0.05	-0.004253197	-0.01348168	-0.007811466	-0.0009700298	
