Time	(5) Hip Bistable 1	(6) Knee Bistable 1	(7) Hip Bistable 2	(8) Knee Bistable 2	
9.0388	-0.04000002	-0.06005442	-0.06001001	-0.03999773	
9.039	-0.04000002	-0.06005432	-0.06001001	-0.03999774	
9.0392	-0.04000002	-0.06005422	-0.06001001	-0.03999775	
9.0394	-0.04000002	-0.06005411	-0.06001001	-0.03999776	
9.039599	-0.04000002	-0.06005401	-0.06001001	-0.03999777	
9.0398	-0.04000002	-0.06005391	-0.06001001	-0.03999778	
9.04	-0.04000002	-0.06005381	-0.06001001	-0.03999779	
9.0402	-0.04000002	-0.06005371	-0.06001001	-0.0399978	
9.0404	-0.04000002	-0.06005361	-0.06001001	-0.0399978	
9.0406	-0.04000002	-0.06005351	-0.06001001	-0.03999782	
9.0408	-0.04000002	-0.0600534	-0.06001001	-0.03999782	
9.040999	-0.04000002	-0.0600533	-0.06001001	-0.03999783	
9.0412	-0.04000002	-0.0600532	-0.06001001	-0.03999784	
9.0414	-0.04000002	-0.0600531	-0.06001001	-0.03999785	
9.0416	-0.04000002	-0.060053	-0.06001001	-0.03999786	
9.0418	-0.04000002	-0.0600529	-0.06001001	-0.03999787	
9.042	-0.04000002	-0.0600528	-0.06001001	-0.03999788	
9.0422	-0.04000002	-0.0600527	-0.06001001	-0.03999789	
9.042399	-0.04000002	-0.06005261	-0.06001001	-0.03999789	
9.0426	-0.04000002	-0.06005251	-0.06001001	-0.0399979	
9.0428	-0.04000002	-0.06005241	-0.06001001	-0.03999791	
9.043	-0.04000002	-0.06005231	-0.06001001	-0.03999792	
9.0432	-0.04000002	-0.06005221	-0.06001001	-0.03999793	
9.0434	-0.04000002	-0.06005212	-0.06001001	-0.03999794	
9.0436	-0.04000002	-0.06005202	-0.06001001	-0.03999795	
9.043799	-0.04000002	-0.06005192	-0.06001001	-0.03999795	
9.044	-0.04000002	-0.06005182	-0.06001001	-0.03999796	
9.0442	-0.04000002	-0.06005172	-0.06001001	-0.03999797	
9.0444	-0.04000002	-0.06005163	-0.06001001	-0.03999798	
9.0446	-0.04000002	-0.06005153	-0.06001001	-0.03999799	
9.0448	-0.04000002	-0.06005144	-0.06001001	-0.03999799	
9.045	-0.04000002	-0.06005134	-0.06001001	-0.03999801	
