Time	(21) BR S1i	(22) BR S2i	(23) BR S3i	(24) BR S4i	
0.0448	-0.06024961	-0.06003536	-0.05975039	-0.05996464	
0.045	-0.06025172	-0.06003566	-0.05974828	-0.05996434	
0.0452	-0.06025385	-0.06003596	-0.05974615	-0.05996404	
0.0454	-0.06025601	-0.06003626	-0.05974399	-0.05996374	
0.0456	-0.06025818	-0.06003657	-0.05974182	-0.05996343	
0.0458	-0.06026037	-0.06003688	-0.05973963	-0.05996312	
0.046	-0.06026259	-0.06003719	-0.05973741	-0.05996281	
0.0462	-0.06026483	-0.06003751	-0.05973517	-0.05996249	
0.0464	-0.06026709	-0.06003783	-0.05973291	-0.05996217	
0.0466	-0.06026937	-0.06003815	-0.05973062	-0.05996185	
0.0468	-0.06027168	-0.06003848	-0.05972832	-0.05996152	
0.047	-0.060274	-0.06003881	-0.05972599	-0.0599612	
0.0472	-0.06027636	-0.06003914	-0.05972364	-0.05996086	
0.0474	-0.06027873	-0.06003947	-0.05972127	-0.05996053	
0.0476	-0.06028113	-0.06003981	-0.05971887	-0.05996019	
0.0478	-0.06028355	-0.06004015	-0.05971645	-0.05995985	
0.048	-0.06028599	-0.0600405	-0.05971402	-0.0599595	
0.0482	-0.06028845	-0.06004084	-0.05971155	-0.05995916	
0.0484	-0.06029094	-0.06004119	-0.05970905	-0.0599588	
0.0486	-0.06029345	-0.06004155	-0.05970655	-0.05995845	
0.0488	-0.06029599	-0.06004191	-0.05970401	-0.05995809	
0.049	-0.06029855	-0.06004227	-0.05970145	-0.05995773	
0.0492	-0.06030114	-0.06004263	-0.05969886	-0.05995737	
0.0494	-0.06030375	-0.060043	-0.05969625	-0.059957	
0.0496	-0.06030638	-0.06004337	-0.05969362	-0.05995663	
0.0498	-0.06030904	-0.06004375	-0.05969096	-0.05995625	
0.05	-0.06031172	-0.06004412	-0.05968828	-0.05995587	
0.0502	-0.06031443	-0.06004451	-0.05968557	-0.05995549	
0.0504	-0.06031716	-0.06004489	-0.05968284	-0.05995511	
0.0506	-0.06031992	-0.06004528	-0.05968008	-0.05995472	
0.0508	-0.06032271	-0.06004567	-0.0596773	-0.05995433	
0.051	-0.06032551	-0.06004607	-0.05967449	-0.05995393	
0.0512	-0.06032834	-0.06004647	-0.05967166	-0.05995353	
0.0514	-0.0603312	-0.06004687	-0.05966879	-0.05995313	
0.0516	-0.06033409	-0.06004728	-0.05966591	-0.05995272	
0.0518	-0.060337	-0.06004769	-0.059663	-0.05995231	
0.052	-0.06033994	-0.06004811	-0.05966006	-0.05995189	
0.0522	-0.0603429	-0.06004852	-0.0596571	-0.05995148	
0.0524	-0.06034589	-0.06004895	-0.05965411	-0.05995106	
0.0526	-0.06034891	-0.06004937	-0.0596511	-0.05995063	
0.0528	-0.06035194	-0.0600498	-0.05964806	-0.0599502	
0.053	-0.06035502	-0.06005023	-0.05964499	-0.05994977	
0.0532	-0.06035811	-0.06005067	-0.05964189	-0.05994933	
0.0534	-0.06036123	-0.06005111	-0.05963877	-0.05994889	
0.0536	-0.06036438	-0.06005155	-0.05963562	-0.05994845	
0.0538	-0.06036756	-0.060052	-0.05963244	-0.059948	
0.054	-0.06037076	-0.06005245	-0.05962924	-0.05994755	
0.0542	-0.06037399	-0.06005291	-0.05962601	-0.05994709	
0.0544	-0.06037725	-0.06005337	-0.05962275	-0.05994663	
0.0546	-0.06038053	-0.06005383	-0.05961947	-0.05994617	
0.0548	-0.06038385	-0.06005429	-0.05961615	-0.0599457	
0.055	-0.06038719	-0.06005477	-0.05961281	-0.05994523	
0.0552	-0.06039056	-0.06005524	-0.05960944	-0.05994476	
0.0554	-0.06039396	-0.06005572	-0.05960604	-0.05994428	
0.0556	-0.06039739	-0.06005621	-0.05960261	-0.0599438	
0.0558	-0.06040084	-0.06005669	-0.05959916	-0.05994331	
0.056	-0.06040432	-0.06005718	-0.05959568	-0.05994282	
0.0562	-0.06040784	-0.06005768	-0.05959217	-0.05994232	
0.0564	-0.06041137	-0.06005818	-0.05958863	-0.05994182	
0.0566	-0.06041494	-0.06005868	-0.05958506	-0.05994132	
0.0568	-0.06041854	-0.06005919	-0.05958146	-0.05994081	
0.057	-0.06042216	-0.0600597	-0.05957784	-0.0599403	
0.0572	-0.06042582	-0.06006021	-0.05957418	-0.05993979	
0.0574	-0.06042951	-0.06006073	-0.0595705	-0.05993927	
0.0576	-0.06043321	-0.06006125	-0.05956679	-0.05993875	
0.0578	-0.06043696	-0.06006178	-0.05956304	-0.05993822	
0.058	-0.06044073	-0.06006231	-0.05955927	-0.05993769	
0.0582	-0.06044453	-0.06006285	-0.05955547	-0.05993715	
0.0584	-0.06044836	-0.06006339	-0.05955164	-0.05993661	
0.0586	-0.06045223	-0.06006393	-0.05954777	-0.05993607	
0.0588	-0.06045611	-0.06006448	-0.05954389	-0.05993552	
0.059	-0.06046003	-0.06006503	-0.05953997	-0.05993497	
0.0592	-0.06046399	-0.06006559	-0.05953601	-0.05993441	
0.0594	-0.06046796	-0.06006615	-0.05953204	-0.05993385	
0.0596	-0.06047197	-0.06006671	-0.05952802	-0.05993329	
0.0598	-0.06047602	-0.06006728	-0.05952398	-0.05993272	
0.06	-0.06048008	-0.06006786	-0.05951992	-0.05993214	
0.0602	-0.06048419	-0.06006844	-0.05951581	-0.05993157	
0.0604	-0.06048832	-0.06006902	-0.05951168	-0.05993098	
0.0606	-0.06049248	-0.06006961	-0.05950752	-0.0599304	
0.0608	-0.06049668	-0.06007019	-0.05950332	-0.0599298	
0.061	-0.0605009	-0.06007079	-0.0594991	-0.05992921	
0.0612	-0.06050515	-0.06007139	-0.05949485	-0.05992861	
0.0614	-0.06050944	-0.06007199	-0.05949056	-0.05992801	
0.0616	-0.06051376	-0.0600726	-0.05948624	-0.0599274	
0.0618	-0.0605181	-0.06007322	-0.0594819	-0.05992679	
0.062	-0.06052249	-0.06007383	-0.05947752	-0.05992617	
0.0622	-0.0605269	-0.06007445	-0.0594731	-0.05992555	
0.0624	-0.06053133	-0.06007508	-0.05946867	-0.05992492	
0.0626	-0.06053581	-0.06007571	-0.05946419	-0.05992429	
0.0628	-0.06054031	-0.06007634	-0.05945968	-0.05992366	
0.063	-0.06054484	-0.06007698	-0.05945516	-0.05992302	
0.0632	-0.06054942	-0.06007763	-0.05945059	-0.05992237	
0.0634	-0.06055402	-0.06007827	-0.05944598	-0.05992173	
0.0636	-0.06055864	-0.06007892	-0.05944136	-0.05992107	
0.0638	-0.06056331	-0.06007958	-0.05943669	-0.05992042	
0.064	-0.060568	-0.06008024	-0.059432	-0.05991976	
0.0642	-0.06057272	-0.06008091	-0.05942728	-0.05991909	
0.06439999	-0.06057748	-0.06008158	-0.05942252	-0.05991842	
0.0646	-0.06058228	-0.06008225	-0.05941772	-0.05991775	
0.0648	-0.06058709	-0.06008293	-0.05941291	-0.05991707	
0.065	-0.06059195	-0.06008362	-0.05940805	-0.05991638	
0.0652	-0.06059683	-0.0600843	-0.05940316	-0.0599157	
0.0654	-0.06060175	-0.06008499	-0.05939825	-0.05991501	
0.0656	-0.0606067	-0.06008569	-0.0593933	-0.05991431	
0.0658	-0.06061169	-0.0600864	-0.05938831	-0.05991361	
0.066	-0.06061669	-0.0600871	-0.05938331	-0.0599129	
